english_word,bahasa_translation,example_usage,pronunciation
hello,halo,"Hello, how are you today?",həˈləʊ
goodbye,selamat tinggal,"Goodbye, see you tomorrow!",ɡʊdˈbaɪ
thank you,terima kasih,Thank you for your help.,θæŋk juː
please,tolong,Please help me with this.,pliːz
sorry,maaf,I'm sorry for being late.,ˈsɒri
house,rumah,My house is near the park.,haʊs
table,meja,Put the book on the table.,ˈteɪbəl
chair,kursi,Please sit on this chair.,tʃeə
bed,tempat tidur,I need to make my bed.,bed
door,pintu,Please close the door.,dɔː
rice,nasi,We eat rice for dinner.,raɪs
water,air,I need a glass of water.,ˈwɔːtə
bread,roti,I had bread for breakfast.,bred
coffee,kopi,Would you like some coffee?,ˈkɒfi
tea,teh,She drinks tea every morning.,tiː
mother,ibu,My mother cooks delicious food.,ˈmʌðə
father,ayah,My father works in an office.,ˈfɑːðə
sister,saudara perempuan,I have two sisters.,ˈsɪstə
brother,saudara laki-laki,My brother is older than me.,ˈbrʌðə
family,keluarga,Family is important.,ˈfæmɪli
eat,makan,Let's eat lunch together.,iːt
drink,minum,Don't forget to drink water.,drɪŋk
sleep,tidur,I need to sleep early tonight.,sliːp
walk,jalan,I walk to school every day.,wɔːk
run,lari,He runs every morning.,rʌn
today,hari ini,What are you doing today?,təˈdeɪ
tomorrow,besok,See you tomorrow!,təˈmɒrəʊ
yesterday,kemarin,I watched a movie yesterday.,ˈjestədeɪ
morning,pagi,Good morning!,ˈmɔːnɪŋ
night,malam,Good night!,naɪt
one,satu,I need one ticket.,wʌn
two,dua,I have two brothers.,tuː
three,tiga,There are three books on the table.,θriː
four,empat,The meeting starts in four minutes.,fɔː
five,lima,I work five days a week.,faɪv
red,merah,The apple is red.,red
blue,biru,The sky is blue today.,bluː
green,hijau,I like green tea.,ɡriːn
yellow,kuning,The sun is yellow.,ˈjeləʊ
black,hitam,She wore a black dress.,blæk
rain,hujan,It might rain today.,reɪn
sun,matahari,The sun is very bright.,sʌn
cloud,awan,There are many clouds in the sky.,klaʊd
wind,angin,The wind is strong today.,wɪnd
hot,panas,It's very hot today.,hɒt
car,mobil,I drive my car to work.,kɑː
bus,bis,I take the bus to school.,bʌs
train,kereta,The train leaves at 9 AM.,treɪn
bicycle,sepeda,I ride my bicycle on weekends.,ˈbaɪsɪkl
airplane,pesawat,We're taking an airplane to Bali.,ˈeəpleɪn
happy,senang,I am happy to see you.,ˈhæpi
sad,sedih,She felt sad after the movie.,sæd
angry,marah,Don't make decisions when you're angry.,ˈæŋɡri
tired,lelah,I'm tired after work.,ˈtaɪəd
excited,gembira,I'm excited about the party.,ɪkˈsaɪtɪd
teacher,guru,My sister is a teacher at the elementary school.,ˈtiːtʃə
doctor,dokter,I have an appointment with the doctor tomorrow.,ˈdɒktə
engineer,insinyur,He works as a software engineer.,ˌendʒɪˈnɪə
chef,koki,The chef prepared a delicious meal.,ʃef
driver,supir,The taxi driver knows all the shortcuts.,ˈdraɪvə
head,kepala,I have a headache.,hed
hand,tangan,Wash your hands before eating.,hænd
eye,mata,She has beautiful brown eyes.,aɪ
nose,hidung,My nose is blocked because of the cold.,nəʊz
mouth,mulut,Please open your mouth wide.,maʊθ
computer,komputer,I need to buy a new computer.,kəmˈpjuːtə
phone,telepon,My phone battery is low.,fəʊn
internet,internet,The internet connection is slow today.,ˈɪntənet
email,surel,I sent you an email this morning.,ˈiːmeɪl
website,situs web,Please visit our website for more information.,ˈwebsaɪt
student,siswa,She is a hardworking student.,ˈstjuːdnt
book,buku,I bought a new book yesterday.,bʊk
pen,pulpen,Can I borrow your pen?,pen
classroom,ruang kelas,The classroom is on the second floor.,ˈklɑːsruːm
homework,pekerjaan rumah,Don't forget to do your homework.,ˈhəʊmwɜːk
shop,toko,The shop opens at 9 AM.,ʃɒp
money,uang,I need to save more money.,ˈmʌni
price,harga,What's the price of this shirt?,praɪs
market,pasar,Let's go to the market to buy vegetables.,ˈmɑːkɪt
discount,diskon,This store is having a big discount.,ˈdɪskaʊnt
hospital,rumah sakit,The hospital is near the city center.,ˈhɒspɪtl
medicine,obat,Don't forget to take your medicine.,ˈmedsɪn
sick,sakit,I feel sick today.,sɪk
healthy,sehat,Eating vegetables keeps you healthy.,ˈhelθi
pain,nyeri,I have pain in my back.,peɪn
football,sepak bola,Let's play football in the park.,ˈfʊtbɔːl
swimming,berenang,I go swimming every weekend.,ˈswɪmɪŋ
basketball,bola basket,He plays basketball after school.,ˈbɑːskɪtbɔːl
tennis,tenis,Do you want to play tennis?,ˈtenɪs
running,berlari,Running is good for your health.,ˈrʌnɪŋ
music,musik,I love listening to music.,ˈmjuːzɪk
movie,film,What's your favorite movie?,ˈmuːvi
dance,tari,She takes dance classes on Saturdays.,dɑːns
painting,lukisan,This painting is beautiful.,ˈpeɪntɪŋ
song,lagu,Can you sing this song?,sɒŋ
office,kantor,I work in an office downtown.,ˈɒfɪs
meeting,rapat,We have a meeting at 2 PM.,ˈmiːtɪŋ
job,pekerjaan,I love my new job.,dʒɒb
salary,gaji,He got a salary increase.,ˈsæləri
manager,manajer,The manager wants to see you.,ˈmænɪdʒə
shirt,kemeja,I need to iron my shirt.,ʃɜːt
pants,celana,These pants are too big.,pænts
shoes,sepatu,My new shoes are comfortable.,ʃuːz
dress,gaun,She wore a beautiful dress to the party.,dres
jacket,jaket,"It's cold, wear your jacket.",ˈdʒækɪt
tree,pohon,The tree provides shade from the sun.,triː
flower,bunga,These flowers smell wonderful.,ˈflaʊə
mountain,gunung,We can see the mountain from here.,ˈmaʊntɪn
beach,pantai,Let's go to the beach this weekend.,biːtʃ
river,sungai,The river flows through the city.,ˈrɪvə
cat,kucing,The cat is sleeping on the sofa.,kæt
dog,anjing,My dog loves to play fetch.,dɒɡ
bird,burung,I can hear birds singing.,bɜːd
fish,ikan,We had grilled fish for dinner.,fɪʃ
chicken,ayam,Would you like some chicken soup?,ˈtʃɪkɪn
bank,bank,I need to go to the bank.,bæŋk
restaurant,restoran,This restaurant serves delicious food.,ˈrestrɒnt
park,taman,The children are playing in the park.,pɑːk
library,perpustakaan,I study at the library.,ˈlaɪbrəri
airport,bandara,We arrived at the airport early.,ˈeəpɔːt
